query,style,event,budget
find pink blazer for gym with a high budget and smart casual look,smart_casual,gym,high
show me pink dress in boho style for gym luxury,boho,gym,high
recommend casual outfit for party in red high end,casual,party,high
recommend athleisure outfit for travel in green quality for price,athleisure,travel,mid
need a ethnic jeans suitable for daily wear and high end,ethnic,daily_wear,high
"looking for smart casual wear for travel, high end",smart_casual,travel,high
recommend athleisure outfit for office in beige premium,athleisure,office,high
need a streetwear saree suitable for wedding and around 6000,streetwear,wedding,mid
need a boho sneakers suitable for party and premium,boho,party,high
recommend formal outfit for wedding in white premium,formal,wedding,high
show me black sneakers in minimal style for gym under 3000,minimal,gym,low
"looking for boho wear for daily wear, around 6000",boho,daily_wear,mid
find blue blazer for daily wear with a mid budget and minimal look,minimal,daily_wear,mid
need a smart casual kurta suitable for daily wear and below 2500,smart_casual,daily_wear,low
find green heels for daily wear with a low budget and smart casual look,smart_casual,daily_wear,low
"looking for casual wear for date night, designer",casual,date_night,high
show me green jacket in ethnic style for date night quality for price,ethnic,date_night,mid
find green jacket for date night with a high budget and ethnic look,ethnic,date_night,high
find blue jacket for party with a low budget and streetwear look,streetwear,party,low
show me blue dress in formal style for office under 15000,formal,office,high
recommend athleisure outfit for date night in white cheap,athleisure,date_night,low
recommend ethnic outfit for gym in pink designer,ethnic,gym,high
recommend smart casual outfit for date night in beige quality for price,smart_casual,date_night,mid
show me pink jacket in formal style for wedding mid range,formal,wedding,mid
"looking for casual wear for office, mid range",casual,office,mid
find beige dress for wedding with a mid budget and athleisure look,athleisure,wedding,mid
need a athleisure heels suitable for gym and around 6000,athleisure,gym,mid
show me navy shirt in minimal style for travel mid range,minimal,travel,mid
find pink kurta for party with a low budget and boho look,boho,party,low
find black jacket for party with a mid budget and casual look,casual,party,mid
recommend casual outfit for party in black mid range,casual,party,mid
show me black saree in boho style for party luxury,boho,party,high
"looking for ethnic wear for office, premium",ethnic,office,high
find black sneakers for beach with a low budget and minimal look,minimal,beach,low
recommend formal outfit for daily wear in navy luxury,formal,daily_wear,high
recommend ethnic outfit for wedding in white luxury,ethnic,wedding,high
show me green dress in athleisure style for travel designer,athleisure,travel,high
"looking for smart casual wear for party, mid range",smart_casual,party,mid
recommend casual outfit for gym in green under 7000,casual,gym,mid
"looking for casual wear for wedding, luxury",casual,wedding,high
recommend minimal outfit for travel in red under 3000,minimal,travel,low
need a boho sneakers suitable for gym and under 15000,boho,gym,high
find white jeans for wedding with a low budget and minimal look,minimal,wedding,low
recommend smart casual outfit for daily wear in pink quality for price,smart_casual,daily_wear,mid
find white sneakers for beach with a high budget and ethnic look,ethnic,beach,high
recommend minimal outfit for wedding in blue affordable,minimal,wedding,low
need a athleisure saree suitable for travel and below 2500,athleisure,travel,low
recommend boho outfit for date night in pink affordable,boho,date_night,low
show me green jacket in boho style for daily wear around 6000,boho,daily_wear,mid
need a smart casual dress suitable for party and under 15000,smart_casual,party,high
"looking for streetwear wear for beach, quality for price",streetwear,beach,mid
"looking for boho wear for travel, budget friendly",boho,travel,low
need a minimal kurta suitable for date night and under 15000,minimal,date_night,high
show me red blazer in streetwear style for wedding quality for price,streetwear,wedding,mid
"looking for smart casual wear for office, cheap",smart_casual,office,low
"looking for casual wear for office, designer",casual,office,high
find green kurta for office with a high budget and smart casual look,smart_casual,office,high
recommend ethnic outfit for travel in pink cheap,ethnic,travel,low
"looking for ethnic wear for party, high end",ethnic,party,high
show me navy jeans in casual style for daily wear high end,casual,daily_wear,high
recommend ethnic outfit for beach in black mid range,ethnic,beach,mid
"looking for athleisure wear for wedding, mid range",athleisure,wedding,mid
show me black kurta in smart casual style for date night below 2500,smart_casual,date_night,low
find red blazer for date night with a low budget and smart casual look,smart_casual,date_night,low
"looking for formal wear for wedding, under 3000",formal,wedding,low
"looking for formal wear for wedding, premium",formal,wedding,high
find black jacket for office with a high budget and boho look,boho,office,high
find blue jacket for beach with a low budget and casual look,casual,beach,low
recommend boho outfit for wedding in red around 6000,boho,wedding,mid
recommend athleisure outfit for travel in black luxury,athleisure,travel,high
"looking for casual wear for date night, quality for price",casual,date_night,mid
find navy heels for party with a mid budget and streetwear look,streetwear,party,mid
show me blue shirt in smart casual style for party luxury,smart_casual,party,high
show me beige dress in ethnic style for gym quality for price,ethnic,gym,mid
"looking for ethnic wear for wedding, high end",ethnic,wedding,high
recommend streetwear outfit for travel in green premium,streetwear,travel,high
recommend ethnic outfit for party in green under 3000,ethnic,party,low
recommend smart casual outfit for office in blue luxury,smart_casual,office,high
recommend casual outfit for party in navy under 7000,casual,party,mid
"looking for athleisure wear for beach, under 15000",athleisure,beach,high
recommend smart casual outfit for office in green budget friendly,smart_casual,office,low
show me navy saree in athleisure style for travel mid range,athleisure,travel,mid
show me green saree in streetwear style for date night premium,streetwear,date_night,high
find navy heels for party with a low budget and athleisure look,athleisure,party,low
need a streetwear jacket suitable for beach and quality for price,streetwear,beach,mid
need a boho shirt suitable for daily wear and affordable,boho,daily_wear,low
recommend casual outfit for wedding in beige high end,casual,wedding,high
show me blue jeans in minimal style for wedding budget friendly,minimal,wedding,low
"looking for athleisure wear for gym, budget friendly",athleisure,gym,low
recommend streetwear outfit for date night in navy around 6000,streetwear,date_night,mid
